0.172,0.016,0.128,0.254,0.172,0.016,0.133,0.233,0.0,0.0
0.208,0.111,0.161,0.254,0.172,0.016,0.133,0.116,0.08,53.433
0.172,0.016,0.133,0.116,0.208,0.111,0.161,0.254,53.433,0.08
0.004,0.069,0.141,0.021,0.172,0.016,0.133,0.018,0.0,0.0
0.172,0.016,0.133,0.001,0.172,0.016,0.133,0.027,0.0,0.0
0.172,0.016,0.133,0.093,0.199,0.048,0.204,0.03,60.742,0.08
0.199,0.048,0.204,0.03,0.172,0.016,0.133,0.093,0.08,60.742
0.068,0.064,0.024,0.25,0.172,0.016,0.133,0.088,0.443,51.226
0.172,0.016,0.133,0.088,0.068,0.064,0.024,0.25,51.226,0.443
0.172,0.016,0.128,0.169,0.172,0.016,0.133,0.006,0.0,0.0
0.172,0.016,0.133,0.006,0.172,0.016,0.128,0.169,0.0,0.0
0.172,0.016,0.133,0.066,0.208,0.078,0.169,0.23,54.164,0.08
0.208,0.078,0.169,0.23,0.172,0.016,0.133,0.066,0.08,54.164
0.172,0.016,0.133,0.02,0.216,0.219,0.112,0.25,62.722,0.443
0.216,0.219,0.112,0.25,0.172,0.016,0.133,0.02,0.443,62.722
0.172,0.016,0.133,0.051,0.202,0.173,0.025,0.2,57.463,0.443
0.202,0.173,0.025,0.2,0.172,0.016,0.133,0.051,0.443,57.463
0.069,0.031,0.034,0.129,0.172,0.016,0.133,0.153,0.0,0.0
0.172,0.016,0.133,0.063,0.008,0.027,0.243,0.253,54.204,0.08
0.008,0.027,0.243,0.253,0.172,0.016,0.133,0.063,0.08,54.204
0.074,0.063,0.052,0.167,0.172,0.016,0.133,0.093,0.08,60.986
0.172,0.016,0.133,0.093,0.074,0.063,0.052,0.167,60.986,0.08
0.172,0.016,0.133,0.096,0.209,0.234,0.234,0.012,53.463,0.08
0.209,0.234,0.234,0.012,0.172,0.016,0.133,0.096,0.08,53.463
0.172,0.016,0.133,0.095,0.064,0.074,0.08,0.187,56.925,0.443
0.064,0.074,0.08,0.187,0.172,0.016,0.133,0.095,0.443,56.925
0.172,0.016,0.133,0.029,0.206,0.033,0.041,0.253,60.885,0.08
0.206,0.033,0.041,0.253,0.172,0.016,0.133,0.029,0.08,60.885
0.076,0.013,0.006,0.174,0.172,0.016,0.133,0.132,0.08,50.45
0.172,0.016,0.133,0.132,0.076,0.013,0.006,0.174,50.45,0.08
0.172,0.016,0.133,0.128,0.023,0.0,0.049,0.244,65.036,0.08
0.023,0.0,0.049,0.244,0.172,0.016,0.133,0.128,0.08,65.036
0.199,0.027,0.208,0.055,0.172,0.016,0.133,0.132,0.443,53.896
0.172,0.016,0.133,0.132,0.199,0.027,0.208,0.055,53.896,0.443
0.172,0.016,0.133,0.041,0.216,0.052,0.121,0.204,52.808,0.08
0.216,0.052,0.121,0.204,0.172,0.016,0.133,0.041,0.08,52.808
0.172,0.016,0.133,0.04,0.004,0.028,0.073,0.137,50.202,0.08
0.004,0.028,0.073,0.137,0.172,0.016,0.133,0.04,0.08,50.202
0.173,0.194,0.043,0.06,0.172,0.016,0.133,0.054,0.08,64.381
0.172,0.016,0.133,0.054,0.173,0.194,0.043,0.06,64.381,0.08
0.204,0.013,0.194,0.191,0.172,0.016,0.133,0.132,0.08,47.336
